id,simplified,traditional,pinyin_marked,pinyin_numbered,pos,hsk_band_2026,hsk_band_range,hsk_band_2021,hsk_band_2_0,hsk_list_id,definition_count,definitions,source_ids,frequency_rank,zipf,audio_female_available,audio_male_available,audio_status,enriched_via
dex:w:qi3lai5:起来:x,起来,起來|起來,qǐlái,qi3 lai5,,1,1,,4,L1-0289,7,"[""to stand up; to get up"",""also pr. [qi3lai2]"",""(after a verb) indicating the beginning and continuation of an action or a state"",""indicating an upward movement (e.g. after 站[zhan4])"",""indicating completion"",""(after a perception verb, e.g. 看[kan4]) expressing preliminary judgment"",""also pr. [qi3lai5]""]",hsk30:L1-0289;cc-cedict:起來|起来[qi3 lai5];cc-cedict:起來|起来[qi5 lai5],315,5.73,true,false,available-unhosted,reading
dex:w:pao3:跑:v,跑,跑,pǎo,pao3,V,1,1,1,,L1-0283,7,"[""to run"",""to run away"",""to escape"",""to run around (on errands etc)"",""(of a gas or liquid) to leak or evaporate"",""(verb complement) away"",""off""]",hsk30:L1-0283;cc-cedict:跑|跑[pao3],1041,5.23,true,false,available-unhosted,reading
dex:w:gen1:跟:prep,跟,跟,gēn,gen1,Prep;Conj;V,1,1,1,3,L1-0122,9,"[""heel"",""to follow closely"",""to go with"",""(of a woman) to marry sb"",""with"",""compared with"",""to"",""towards"",""and (joining two nouns)""]",hsk30:L1-0122;cc-cedict:跟|跟[gen1],286,5.78,true,false,available-unhosted,reading
dex:w:lu4:路:n,路,路,lù,lu4,N;M,1,1,1,2,L1-0221,5,"[""road (CL:條|条[tiao2])"",""journey"",""route"",""line (bus etc)"",""sort; kind""]",hsk30:L1-0221;cc-cedict:路|路[lu4],668,5.43,true,false,available-unhosted,reading
dex:w:lu4shang5:路上:n,路上,路上,lùshang,lu4 shang5,N,1,1,1,,L1-0223,2,"[""on the road"",""on the way; en route""]",hsk30:L1-0223;cc-cedict:路上|路上[lu4 shang5],3034,4.72,true,false,available-unhosted,reading
dex:w:lu4kou3:路口:n,路口,路口,lùkǒu,lu4 kou3,N,1,1,1,,L1-0222,2,"[""crossing"",""intersection (of roads)""]",hsk30:L1-0222;cc-cedict:路口|路口[lu4 kou3],10479,4.05,true,false,available-unhosted,reading
dex:w:shen1shang5:身上:n,身上,身上,shēnshang,shen1 shang5,N,1,1,,,L1-0326,3,"[""on the body"",""at hand"",""among""]",hsk30:L1-0326;cc-cedict:身上|身上[shen1 shang5],1416,5.1,true,false,available-unhosted,reading
dex:w:shen1ti3:身体:n,身体,身體,shēntǐ,shen1 ti3,N,1,1,1,2,L1-0327,2,"[""the body"",""one's health""]",hsk30:L1-0327;cc-cedict:身體|身体[shen1 ti3],1237,5.16,true,false,available-unhosted,reading
dex:w:che1:车:n,车,車,chē,che1,N,1,1,1,,L1-0042,6,"[""car"",""vehicle"",""CL:輛|辆[liang4]"",""machine"",""to shape with a lathe"",""Kangxi radical 159""]",hsk30:L1-0042;cc-cedict:車|车[che1],939,5.27,true,false,available-unhosted,reading
dex:w:che1shang5:车上:x,车上,車上,chē shang,che1 shang5,,1,1,,,L1-0044,0,[],hsk30:L1-0044,8533,,true,false,available-unhosted,form
dex:w:che1piao4:车票:n,车票,車票,chēpiào,che1 piao4,N,1,1,1,,L1-0043,1,"[""ticket (for a bus or train)""]",hsk30:L1-0043;cc-cedict:車票|车票[che1 piao4],13097,3.93,true,false,available-unhosted,reading
dex:w:che1zhan4:车站:n,车站,車站,chēzhàn,che1 zhan4,N,1,1,1,,L1-0045,3,"[""rail station"",""bus stop"",""CL:處|处[chu4],個|个[ge4]""]",hsk30:L1-0045;cc-cedict:車站|车站[che1 zhan4],4870,4.47,true,false,available-unhosted,reading
